Title;Actor;Actress
Morning After, The;Bridges, Jeff;Fonda, Jane
Klute;Sutherland, Donald;Fonda, Jane
Electric Horseman, The;Redford, Robert;Fonda, Jane
Cat Ballou;Marvin, Lee;Fonda, Jane
Coming Home;Voight, Jon;Fonda, Jane
Rebecca;Olivier, Laurence;Fontaine, Joan
Jane Eyre;Welles, Orson;Fontaine, Joan
Stacey!;Randall, Anne;Ford, Anitra
Naked Obsession;Katt, William;Ford, Maria
Stripped to Kill II, Live Girls;Lottimer, Ed;Ford, Maria
Rain Killer, The;Sharkey, Ray;Ford, Maria
Valley Girl;Cage, Nicolas;Foreman, Deborah
Silence of the Lambs, The;Hopkins, Anthony;Foster, Jodie
Stealing Home;Harmon, Mark;Foster, Jodie
Napoleon & Samantha;Douglas, Michael;Foster, Jodie
Five Corners;Robbins, Tim;Foster, Jodie
Blackboard Jungle, The;Ford, Glenn;Francis, Anne
My Left Foot;Day-Lewis, Daniel;Fricker, Brenda
Back to the Beach;Avalon, Frankie;Funicello, Annette
Painted Veil, The;Marshall, Herbert;Garbo, Greta
Inspiration;Apfel, Oscar;Garbo, Greta
Anna Christie;Bickford, Charles;Garbo, Greta
Flesh & the Devil, The;Gilbert, John;Garbo, Greta
Woman of Affairs;Gilbert, John;Garbo, Greta
Anna Karenina;March, Fredric;Garbo, Greta
Camille;Taylor, Robert;Garbo, Greta
Mata Hari;Novarro, Ramon;Garbo, Greta
Wild Orchids;Stone, Lewis;Garbo, Greta
Grand Hotel;Barrymore, John;Garbo, Greta
Susan Lennox, Her Fall & Rise;Hale, Alan;Garbo, Greta
Ninotchka;Douglas, Melvyn;Garbo, Greta
Queen Christina;Gilbert, John;Garbo, Greta
Mysterious Lady, The;Nagel, Conrad;Garbo, Greta
Joyless Street;Stuart, Henry;Garbo, Greta
Single Standard, The;Asther, Nils;Garbo, Greta
As You Desire Me;Douglas, Melvyn;Garbo, Greta
Romance;Stone, Lewis;Garbo, Greta
A Child Is Waiting;Lancaster, Burt;Garland, Judy
Tootsie;Hoffman, Dustin;Garr, Teri
Let It Ride;Dreyfuss, Richard;Garr, Teri
Julius Caesar;Brando, Marlon;Garson, Greer
Nineteen Forty-One;Belushi, John;Gary, Lorraine
Jaws;Scheider, Roy;Gary, Lorraine
Hot Pursuit;Cusack, John;Gazelle, Wendy
Triumph of the Spirit;Dafoe, Willem;Gazelle, Wendy
Brannigan;Wayne, John;Geeson, Judy
Buffet Froid;Depardieu, Gérard;Gence, Denise
Salvador;Woods, James;Gibb, Cynthia
Horse Soldiers, The;Wayne, John;Gibson, Althea
Long John Silver;Newton, Robert;Gilchrist, Connie
Hustler, The;Newman, Paul;Gleason, Jackie
Star Chamber, The;Douglas, Michael;Gless, Sharon
Clara's Heart;Ontkean, Michael;Goldberg, Whoopi
Burglar;Goldthwait, Bob;Goldberg, Whoopi
Comic Relief;Crystal, Billy;Goldberg, Whoopi
Bloodbrothers;Sorvino, Paul;Goldoni, Lelia
Rain Man;Hoffman, Dustin;Golino, Valeria
Masculine Feminine;Leaud, Jean-Pierre;Goya, Chantal
Outer Limits, The;Perrin, Vic;Grahame, Gloria
Mama's Dirty Girls;Currie, Sondra;Grahame, Gloria
Last Ride of the Dalton Gang, The;Palance, Jack;Greenbush, Lindsay
Why Me?;Lambert, Christopher;Greist, Kim
Number Seventeen;Lion, Leon M.;Grey, Anne
Manhunter;Petersen, William L.;Griest, Kim
Bonfire of the Vanities, The;Hanks, Tom;Griffith, Melanie
Working Girl;Ford, Harrison;Griffith, Melanie
Shining Through;Douglas, Michael;Griffith, Melanie
Slumber Party Massacre III;Christian, Keely;Grye, Brittain
Tokyo Pop;Tadokoro, Yutaka;Hamilton, Carrie
Terminator 2;Schwarzenegger, Arnold;Hamilton, Linda
Terminator, The;Schwarzenegger, Arnold;Hamilton, Linda
King Kong Lives!;Kerwin, Brian;Hamilton, Linda
Those Daring Young Men in Their Jaunty;Curtis, Tony;Hampshire, Susan
